,Position,Player,Age,Conference,PPG,RPG,APG,BPG,SPG,GP,W%
239,F/C,Kyle Anderson 2019-20,26,West,4.75,3.7778,2.1111,0.4167,0.6944,36.0,0.4762
240,F/C,Ryan Anderson 2019-20,31,West,2.5,3.5,1.0,0.0,0.5,2.0,0.65
241,F/C,Giannis Antetokounmpo 2019-20,25,East,30.05,12.85,5.525,1.075,1.15,40.0,0.8605
242,F/C,Kostas Antetokounmpo 2019-20,22,West,0.0,0.3333,0.3333,0.0,0.0,3.0,0.8049
243,F/C,Thanasis Antetokounmpo 2019-20,27,East,2.0,0.5385,0.4615,0.0769,0.0769,13.0,0.8605
244,F/C,Carmelo Anthony 2019-20,35,West,16.5357,6.25,1.3571,0.5357,0.9643,28.0,0.4186
245,F/C,OG Anunoby 2019-20,22,East,11.425,5.8,1.7,0.675,1.175,40.0,0.6585
246,F/C,Trevor Ariza 2019-20,34,West,6.0,4.5625,1.5625,0.2188,1.0938,32.0,0.3659
247,F/C,Deandre Ayton 2019-20,21,West,16.8182,12.0,1.8182,1.6364,0.4545,11.0,0.4146
248,F/C,Marvin Bagley 2019-20,20,West,13.9091,6.8182,0.6364,0.9091,0.3636,11.0,0.3659
249,F/C,Mo Bamba 2019-20,21,East,5.3421,5.3421,0.6316,1.2895,0.3947,38.0,0.4762
250,F/C,Harrison Barnes 2019-20,27,West,15.3902,4.878,2.2195,0.1463,0.6585,41.0,0.3659
251,F/C,Keita Bates-Diop 2019-20,24,West,7.1034,3.0345,0.5862,0.4828,0.4483,29.0,0.3659
252,F/C,Nicolas Batum 2019-20,31,East,3.55,4.4,2.95,0.4,0.8,20.0,0.3409
253,F/C,Aron Baynes 2019-20,33,West,11.7188,5.875,1.9063,0.5938,0.2188,32.0,0.4146
254,F/C,Darius Bazley 2019-20,19,West,4.119,3.5476,0.5,0.6667,0.3571,42.0,0.5476
255,F/C,Jordan Bell 2019-20,25,West,3.2083,3.0417,0.5833,0.375,0.0833,24.0,0.3659
256,F/C,DeAndre' Bembry 2019-20,25,East,5.9024,3.5854,1.9268,0.4634,1.2195,41.0,0.2381
257,F/C,Dragan Bender 2019-20,22,East,3.75,2.25,1.25,0.75,0.0,4.0,0.8605
258,F/C,Dāvis Bertāns 2019-20,27,East,15.2188,4.875,1.6875,0.625,0.6563,32.0,0.3171
